Player_Rank_Salary,Player_Name,Team_Salary,Salary_2025,Guaranteed_Salary,player_id,Player_Rank_Stats,Age,Team,Pos,FG,FG_Percent,ThreeP,ThreeP_Percent,TwoP,TwoP_Percent,eFG_Percent,FT,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,PTS,Awards,Log_Salary_2025
57,Kristaps Porziņģis,GSW,30731707.0,$30731707,porzikr01,77,30,GSW,C,5.1,0.433,1.5,0.311,3.6,0.519,0.497,4.3,0.844,1.3,4.1,5.3,2.3,0.6,1.1,16.1,,17.240805480888028
58,CJ McCollum,ATL,30666666.0,$30666666,mccolcj01,55,34,2TM,PG,6.9,0.455,2.5,0.375,4.4,0.519,0.538,2.4,0.772,0.8,2.5,3.3,3.9,0.8,0.5,18.7,,17.238686824606074
58,CJ McCollum,ATL,30666666.0,$30666666,mccolcj01,55,34,WAS,SG,6.9,0.454,2.7,0.393,4.1,0.505,0.544,2.3,0.804,0.7,2.9,3.5,3.6,0.7,0.3,18.8,,17.238686824606074
58,CJ McCollum,ATL,30666666.0,$30666666,mccolcj01,55,34,ATL,PG,7.0,0.456,2.3,0.357,4.6,0.529,0.532,2.5,0.748,1.0,2.2,3.1,4.1,1.0,0.6,18.7,,17.238686824606074
59,Jalen Johnson,ATL,30000000.0,$150000000,johnsja05,25,24,ATL,SF,8.3,0.489,1.7,0.352,6.7,0.541,0.537,4.2,0.788,1.4,8.9,10.3,7.9,1.2,0.4,22.5,AS,17.216707939626428
60,Isaiah Hartenstein,OKC,28500000.0,$28500000,harteis01,236,27,OKC,C,3.9,0.622,0.0,0.0,3.9,0.637,0.622,1.4,0.61,3.2,6.3,9.4,3.5,1.0,0.8,9.2,,17.16541464523888
61,Andrew Wiggins,MIA,28223215.0,$28223215,wiggian01,95,30,MIA,SF,5.7,0.475,2.0,0.414,3.7,0.516,0.559,1.9,0.784,1.7,3.1,4.8,2.7,1.1,1.0,15.4,,17.155655424193245
62,Derrick White,BOS,28100000.0,$91044000,whitede01,82,31,BOS,SG,5.7,0.394,2.7,0.327,3.0,0.487,0.489,2.4,0.902,1.1,3.3,4.4,5.4,1.1,1.3,16.5,DPOY-6,17.151280134303974
63,RJ Barrett,TOR,27705357.0,$57321428,barrerj01,52,25,TOR,SF,7.0,0.491,1.7,0.339,5.4,0.572,0.55,3.5,0.717,1.0,4.3,5.3,3.3,0.7,0.3,19.3,,17.13713634596126
64,Anfernee Simons,CHI,27678571.0,$27678571,simonan01,109,26,2TM,SG,5.2,0.44,2.7,0.385,2.5,0.517,0.552,1.3,0.896,0.6,1.9,2.5,2.4,0.5,0.1,14.3,,17.136169061658546
64,Anfernee Simons,CHI,27678571.0,$27678571,simonan01,109,26,BOS,SG,5.1,0.44,2.7,0.395,2.4,0.502,0.555,1.3,0.889,0.5,1.9,2.4,2.4,0.6,0.1,14.2,,17.136169061658546
